CMNTY_HLTH_SERV_AREA_CODE,CMNTY_HLTH_SERV_AREA_NAME,CityOverlapShare,VancouverCityIncluded
3211,Downtown Vancouver,1.0,True
3212,West End,1.0000000000000013,True
3263,Sunset,0.9999991099327508,True
3264,Victoria-Fraserview,0.999913824389449,True
3213,Fairview,0.9999999999999993,True
3221,Downtown Eastside,0.9999999999999998,True
3222,Northeast False Creek,0.9999999999999999,True
3223,Grandview-Woodland,0.9999999999999998,True
3231,Cedar Cottage,1.0000000000000002,True
3232,Hastings-Sunrise,0.9999999938405874,True
3233,Renfrew-Collingwood,0.9999999944487838,True
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,0.9999999927112121,True
3242,West Point Grey/Dunbar-Southlands,0.8463686115976757,True
3244,Kitsilano,0.9999999999999997,True
3251,Kensington,1.0000000000000004,True
3252,Mount Pleasant,1.0000000000000004,True
3253,South Cambie/Riley Park,0.9999999999999992,True
3261,Killarney,0.9999911745050143,True
3262,Oakridge/Marpole,0.9995150959304506,True
